Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
2020-10-06,TM,131.92999267578125,132.6300048828125,131.16000366210938,131.25999450683594,256600,-0.636,131.73360182538485,132.43225431732026,131.56443806380454,129.72580266581178,0.0,0.8400115966796875,0.5407137189592633,0.7385711669921875,0.7321078091381584,42.26687307081837,63.799091166981775,42.26687307081837,0.0,0.009110329090703436,0.09647500109689582,True,0.0,,0,3.459991455078125,,
2020-10-07,TM,132.67999267578125,132.67999267578125,132.00999450683594,132.42999267578125,115900,0.891,132.08179725058307,132.43180198901246,131.59838138192129,129.75271002909506,1.1699981689453125,0.0,0.5549992152622768,0.7385711669921875,0.7514498806154283,42.904446706255854,63.799091166981775,42.26687307081837,0.029610216308884874,0.014805108154441993,0.011957718622573325,True,-131.25999450683594,Buy,1,-127.80000305175781,,
2020-10-08,TM,132.92999267578125,133.13999938964844,132.47000122070312,132.9499969482422,99300,0.393,132.51589709941263,132.53544098085843,131.65138591393386,129.78452382928558,0.5200042724609375,0.0,0.5921423775809151,0.6849997384207589,0.8644417572276408,46.3646426002084,63.799091166981775,42.26687307081837,0.19030875087226456,0.10995948359057428,0.05953490634063947,True,0.0,,1,-127.80000305175781,,
2020-10-09,TM,132.22000122070312,132.36000061035156,131.97000122070312,132.0800018310547,107800,-0.654,132.29794946523367,132.44435315089768,131.66819438127195,129.8073644064176,0.0,0.8699951171875,0.5921423775809151,0.5307137625558036,1.1157471679823876,52.73537334077508,63.799091166981775,42.26687307081837,0.4861784430755871,0.33824359697392536,0.1765243525641843,True,0.0,,1,-127.80000305175781,,
2020-10-12,TM,132.0,132.22000122070312,131.6199951171875,131.8000030517578,144400,-0.212,132.04897625849574,132.3154831310697,131.673363348742,129.82719165662002,0.0,0.279998779296875,0.518571036202567,0.5507136753627232,0.9416345723774051,48.497002771455335,63.799091166981775,42.26687307081837,0.28933989395858134,0.3877591685170838,0.24885932605382965,True,0.0,,1,-127.80000305175781,,
2020-10-13,TM,132.83999633789062,133.1300048828125,132.4199981689453,132.64999389648438,104600,0.645,132.34948507749004,132.38238528415263,131.71166258590836,129.85527924109627,0.8499908447265625,0.0,0.5049994332449776,0.5507136753627232,0.9169909080473874,47.83491169404751,63.799091166981775,42.26687307081837,0.2585910377817161,0.27396546587014825,0.3061045314220374,True,0.0,,1,-127.80000305175781,,
2020-10-14,TM,131.63999938964844,131.97000122070312,131.30999755859375,131.52999877929688,105100,-0.844,131.93974192839346,132.2119079831815,131.70453851506085,129.87194311709828,0.0,1.1199951171875,0.5049994332449776,0.5278570992606026,0.9566972461909806,48.89347332876062,63.799091166981775,42.26687307081837,0.3077527929704081,0.2831719153760617,0.3354655419465733,True,0.0,,1,-127.80000305175781,,
2020-10-15,TM,130.63999938964844,131.22000122070312,130.3800048828125,131.1699981689453,123000,-0.274,131.5548700486694,132.00352602033428,131.6835761485465,129.88485908776343,0.0,0.3600006103515625,0.4249997820172991,0.5535714285714286,0.7677415417086693,43.43064433314065,63.799091166981775,42.26687307081837,0.05404790426721705,0.18090034861881213,0.22743290724448081,True,0.0,,1,-127.80000305175781,,
2020-10-16,TM,130.64999389648438,131.7100067138672,130.58999633789062,130.63999938964844,144400,-0.404,131.0974347191589,131.73082069419712,131.6426515697662,129.89237292161303,0.0,0.529998779296875,0.20785740443638392,0.5914284842354911,0.351449769459566,26.00538898312942,58.21917367703429,26.00538898312942,0.0,0.02702395213360808,0.1550979337548355,True,0.0,,1,-127.80000305175781,,
2020-10-19,TM,131.7899932861328,131.7899932861328,130.6199951171875,130.8800048828125,106800,0.184,130.9887198009857,131.5606575319202,131.61274385655233,129.90220010530658,0.2400054931640625,0.0,0.22500065394810267,0.46571459089006695,0.48312992195087706,32.57502359033917,55.695598939266226,26.00538898312942,0.2212727568082368,0.11063637840411795,0.14576836351146566,False,0.0,,1,-127.80000305175781,,
